story,overall_quality_rating,ATD,narraive_arc_answer,common_sense_answer,coherency_score,fluency_score,interest_score,plot_twist_answer,share_score,humanlike_score,NLI,Emo,EmoArc,Human
"Bernice always wanted to travel to Africa. Bernice decided she would take a trip for her birthday next year. Bernice started to look at the price of airline tickets for the trip. In addition, Bernice looked up the price of hotels as well. Bernice decided to get an airplane ticket and reserve a room.",2.4,0,0.6,1.0,3.6,3.0,2.6,0.4,1.0,0.6,0,1,0,1.0
My daughter has a list of things to do before she turns 40. She is only 30. One thing was to read the Bible cover to cover. I decided to read the Bible again to support my daughter. I want my daughter to have a spiritual life.,3.6,0,0.8,0.8,2.2,3.8,2.0,0.8,0.8,1.0,0,1,0,1.0
"Joe and his friends had their soccer game today. Joe was nervous. He was nervous if he would win or not. Finally after the game, Joe's team won. Joe was very proud of his team.",3.0,0,1.0,1.0,3.4,3.4,3.0,0.8,1.6,1.0,0,1,0,1.0
"Joe is an aspiring journalist. But he's been feeling pretty frustrated by the news media. He considered going back to school, but decided against it. Finally, he landed a well-paying job. Joe was grateful and then went to work.",3.2,0,0.6,0.8,2.6,3.4,3.0,0.6,1.4,0.8,0,1,0,1.0
"I found a $600 dollar envelope in the mail today. However, it belonged to my neighbor. I decided to give them the mail instead of keeping it. They thanked me for being selfless. I am honest.",3.8,0,1.0,1.0,2.8,3.4,2.6,0.4,1.2,0.8,0,1,0,1.0
Gina was worried the cookie dough in the tube would be gross. She was very happy to find she was wrong. The cookies from the tube were as good as from scratch. Gina intended to only eat 2 cookies and save the rest. Gina liked the cookies so much she ate them all in one sitting.,3.4,0,0.6,0.8,3.6,2.6,2.4,0.6,0.6,0.6,0,1,0,1.0
"Marcy is a deaf woman who lives alone. She told her friend the hardest thing is communicating with strangers. Her friend told her to take pen and paper so she could communicate. Marcy began doing this, and found it much easier to do things alone. She thanked her friend for the advice.",3.6,0,0.6,0.8,3.6,3.6,3.4,0.4,1.6,0.6,0,1,0,1.0
Jane needed to earn some extra money. She remembered paid psychology experiments in college. Jane searched for paid experiments and found Mechanical Turk. She was now able to participate in psychology experiments at home. Jane was finally able to earn extra money.,2.8,1,0.8,1.0,3.6,3.4,3.0,0.4,1.2,1.0,0,1,0,1.0
Avery was very excited. Tonight was his very first basketball game. He had practiced and his parents came to watch him. Avery played well with his teammates and even scored some points! Avery's parents were proud.,3.2,0,1.0,1.0,3.8,3.6,3.4,0.6,1.2,1.0,0,1,0,1.0
"John was diagnosed with bone cancer. He was sad and felt defeated. But, he decided to enroll in chemotherapy and fight the disease. He struggled for two years to overcome cancer. John eventually beat the cancer.",3.6,0,1.0,1.0,3.8,3.4,3.6,1.0,2.0,1.0,1,1,0,1.0
Tim was failing math class. He knew if he didn't pass he would have to go to summer school. He studied hard and asked for extra credit. On the last day of school he found out he passed! Tim was thrilled.,3.4,0,0.8,1.0,4.0,1.6,3.4,0.8,1.2,0.6,0,1,0,1.0
"David has always dreamed of visiting Oregon. Although he doesn't have much money, he starts saving a little. Finally David has enough money for his big trip to Oregon. On his trip, he eats local food and sees amazing sights. He has a great time in Oregon.",3.2,0,1.0,1.0,3.8,3.2,2.2,0.4,1.2,1.0,0,1,0,1.0
Anne had just turned 50 when she noticed something unsettling. Her hair was beginning to come in gray! She thought about dyeing it to hide the gray. Then she decided to honor her wisdom and Years. She wore her gray hair with pride.,2.6,0,0.4,1.0,3.2,2.4,3.0,1.0,1.6,0.8,0,1,0,1.0
"We went on safari and hoped to see the Big 5 that is everyone's goal. After 10 days, we had seen all but a leopard. We heard someone saying they had seen leopard babies on today's drive. We were so disappointed and asked them about it later. We wanted to see a leopard.",2.4,0,0.0,0.8,2.6,2.8,2.2,0.4,0.6,0.8,0,1,0,1.0
Cole had a garden with a lot of vegetables. He had so many that he would have to throw them out. He started to take his excess vegetables to the local church. The church was grateful to Cole for his kindness. All the members signed a Thank You card for Cole.,3.6,0,1.0,1.0,3.4,2.8,2.8,0.4,1.0,0.8,0,1,0,1.0
Sam loved his old belt. He matched it with everything. Unfortunately he gained too much weight. It became too small. Sam went on a diet.,3.2,0,0.8,1.0,3.6,3.2,2.0,0.4,0.6,0.6,0,1,0,1.0
Eve needed a new couch in her parlor. But she could not afford to buy one! Then she went to a secondhand store and found a great one. She had it delivered and set up in her living room. Eve thought the couch was very comfortable.,3.6,0,1.0,1.0,3.4,3.4,2.4,0.4,0.6,0.8,0,1,0,1.0
Donald was kind of the class clown. He wanted to be class president. So he figured if he acted like an idiot people would vote for him. He would get up and just yell and be foolish. Donald hoped this foolishness won him the election.,2.6,0,0.8,0.4,2.8,2.6,2.2,0.6,1.0,0.4,0,1,0,1.0
"All Kevin wanted in life was to buy his fiance a house. He became near obsessed, saving every penny. He worked multiple jobs and lived as a miser. After a year, Kevin had enough money for a down payment. Kevin bought a house.",3.0,1,1.0,1.0,3.8,3.4,2.6,0.6,0.8,0.8,0,1,0,1.0
Lester has always wanted to be more artistic. He decides to try to draw a picture of a flower one day. He sits in front of a beautiful orchid and begins to draw. Lester's drawing comes out very well. He hangs the picture on the wall in his living room.,3.6,0,1.0,1.0,3.2,3.0,2.6,0.6,0.8,0.8,0,1,0,1.0
"Jimmy went skateboarding this afternoon. It was the third time this week. He's getting good at it and really likes it. He fell once but hasn't given up. After all his practice this week, Jimmy has learned a new trick.",3.0,0,1.0,1.0,3.6,3.8,2.8,0.6,1.2,0.8,0,1,0,1.0
Farmer Bill called out the the cows in the field. The came running in for their food. Bill poured out some grains for the cows in big bins. The cows happily ate their dinner. Bill was proud of his work.,2.8,0,0.8,0.6,3.0,2.8,1.2,0.2,0.4,0.4,0,1,0,1.0
Francis has always looked forward to learning how to drive. Finally he is old enough for a driver's license. Francis studies very hard to get a license. He passes his driver's test easily. Francis is really proud of his accomplishment.,2.6,0,0.8,0.6,3.8,2.8,2.6,0.4,1.0,0.4,0,1,0,1.0
Maggie had her first piano recital tonight. She was very nervous. When she got on stage she was shaking. Thankfully she ended up playing perfectly. Maggie was encouraged to do more.,3.0,0,1.0,1.0,3.8,3.2,3.4,0.4,1.8,0.6,0,1,0,1.0
Micky always wanted to get thinner. He tried fad diets to no avail. He started to cut back on his calories and get more exercise. After 2 months Micky started to see results. He was very proud of all his hard work.,3.2,0,0.8,1.0,4.0,3.6,3.2,0.6,1.4,1.0,0,1,0,1.0
Ellen dreamed of winning a prize for her roses. She planned to enter her special purple rose at the fair. She fertilized the rose bush and covered it each night. The roses grew more beautiful every day. Ellen ended up winning the prize.,3.6,0,0.8,0.8,4.0,3.6,2.6,0.4,1.0,1.0,0,1,0,1.0
Sara wanted her kids to have a great Christmas. She saved all year and started her shopping in November. She shopped deals and spent all her savings. She spent two days wrapping dozens of presents. All of the presents were wrapped and stored for the holidays.,2.8,0,1.0,1.0,4.0,4.0,2.4,0.4,0.2,0.8,0,1,0,1.0
Alan got a gun for his 18th birthday. His dad took him to the range to practice shooting. Alan was a terrible shot! But he persevered and practiced a lot. He now loves to go hunting.,1.8,0,0.8,1.0,4.0,2.8,2.6,1.0,0.8,0.6,0,1,0,1.0
"Tom enjoyed puzzles growing up. He was not just outside of the escape room adventure. He calmed his breathing and readied himself mentally. Thirty minutes later, he exited the escape room in record time. He felt pride in his accomplishment.",2.2,0,0.6,0.8,2.2,3.0,3.0,0.6,0.8,0.8,0,1,0,1.0
"Rachelle worked hard to buy her first home. She was very proud of her accomplishment. Unfortunately, she lost her job and eventually, her home. She decided to stay in a hotel and find a new job. She became depressed.",2.2,0,1.0,1.0,3.6,3.8,3.6,1.0,1.6,1.0,0,1,0,1.0
Jennifer dove from the starting block. She always felt that she held the rest of her team back. She pushed harder than she ever had to catch the other swimmers. She even past a few and actually placed second in her event. Jennifer was proud of herself for swimming so well.,2.6,0,0.8,1.0,3.0,3.2,3.2,0.4,1.2,0.6,0,1,0,1.0
"Jim made spinach cookies. He sold them for five dollars each. No one bought any. However, at the last minute a man wanted twenty. He was surprised but thankful.",3.4,0,1.0,0.8,4.0,3.4,3.0,1.0,1.4,1.0,0,1,0,1.0
Kelsi always wanted a new pool. She begged her parents for Years to get one. Finally they caved in and allowed her to have one. Kelsi was elated and could not believe it. Kelsi loved her new pool.,2.8,0,1.0,1.0,3.6,3.2,2.6,0.8,0.8,0.8,0,1,0,1.0
I went on a blind date a few days ago. She was cute and friendly. We were set up through a co worker. We seem to have some things in common. Soon we were boyfriend and girlfriend and thinking of marriage.,2.2,0,0.8,1.0,3.2,3.0,2.2,0.8,1.2,0.8,0,1,0,1.0
Joey was a second grader that like to color in coloring books. He had worn down most of his crayons so he only had brown and black. His parents thought that Joey was an artist because of his odd colors. They hung his work on the fridge for everyone to admire. Joey felt proud of himself.,2.0,0,0.8,0.4,3.0,3.6,2.8,0.4,0.8,0.8,0,1,0,1.0
"Everyday, I nag my daughter to do her homework. I finally decided that it is her own responsibility. Sure enough, she didn't do it one evening. I sent her to bed anyway, knowing she would get in trouble at school. She ended up making a bad grade on the assignment.",2.8,0,1.0,1.0,2.8,2.6,2.6,0.6,1.0,0.8,0,1,0,1.0
"Neil was visiting Ireland. His train had just arrived in Derry. As he disembarked, he caught his breath. It was as gorgeous as a fairy tale! Neil enjoyed Ireland.",3.0,0,0.4,0.4,3.4,3.8,2.2,0.2,1.0,1.0,0,1,0,1.0
Laverne needs to prepare something for her friend's party. She decides to bake a batch of brownies. She chooses a recipe and follows it closely. Laverne tests one of the brownies to make sure it is delicious. The brownies are so delicious Laverne eats two of them.,2.6,0,1.0,0.8,3.2,3.6,2.8,0.4,1.4,0.6,0,1,0,1.0
"Ford was proud of his high GPA. He worked every evening on assignments in order to improve it. Ford's friends warned him that he was missing out on fun. Later in life, Ford became a successful lawyer. Ford was proud of his accomplishments.",3.4,0,0.8,1.0,3.4,3.2,3.4,0.4,1.6,0.8,0,1,0,1.0
Vivienne wanted to move from France to America. Part of the immigration process was an interview about her intentions. Vivienne did not have any goals or career aspirations. The interview did not go well. Vivienne was not granted a visa.,3.2,0,1.0,1.0,3.0,2.8,1.8,0.4,0.6,0.4,0,0,1,1.0
Reg was hoping for a snow day. There was a bad storm overnight. He got his wish and school was canceled! He spent the whole day playing in the snow making snowmen. Reg hoped he would get another snow day soon.,2.2,0,0.8,0.4,3.2,3.2,2.8,0.2,0.8,1.0,0,0,1,1.0
"Frankie was in love with a distant, aloof man. The man she loved was not very nice to her. He cheated on her with other people in town. Frankie left him. Frankie found another man.",1.6,0,0.6,0.8,2.2,2.8,2.2,0.2,0.4,0.4,0,0,1,1.0
Sal was jumping rope. Then he tripped and fell. He twisted his ankle as he went down. He needed to wear a brace for three weeks. Sal hated the brace.,2.8,1,0.8,0.4,3.4,1.8,2.0,0.4,0.4,0.4,0,0,1,1.0
"Connie's doctor says she is overweight. She recommended better diet and exercise. One day, Connie joined a gym. The next day, Connie was disappointed to not see change. She hired a personal trainer to help her meet her goals.",3.0,0,0.8,0.8,4.0,3.0,1.8,0.0,0.4,0.8,0,0,1,1.0
Brian tried out for the hockey team this year. Unfortunately he did not make the team. The coach said that he needed to be faster on skates. Brian spent all winter working on his speed skating. He eventually made the team.,3.4,0,1.0,0.8,3.2,2.8,2.8,0.6,1.6,0.8,0,0,1,1.0
Todd and Ashley were dating. Todd got irritated with Ashley. He gave her the silent treatment. Ashley got upset. She decided not to speak to Todd either.,2.2,0,0.6,0.6,3.4,3.2,2.4,0.4,1.2,0.6,0,0,1,1.0
It was a very cold day. The snow was coming down very hard for many hours. The people of Lansing were stuck in their homes without power. The storm brought three feet of snow to the city. School was cancelled.,3.2,0,0.0,1.0,3.0,3.6,2.8,1.0,0.8,0.6,0,0,1,1.0
"Henry was walking to his class. At the same time, he was trying to clean his phone screen with a cloth. Unfortunately, someone bumped into him. His phone fell out of his hand and landed on the ground. The person apologized to Henry.",2.8,0,1.0,0.8,3.8,4.0,2.8,0.8,1.2,1.0,0,0,1,1.0
We had fruit flies in our home last year. We looked up various treatments. We tried red wine in bowls. When that didn't work we bought a special trap. We could even see the trap working.,2.0,0,0.8,1.0,3.2,1.8,1.8,0.6,0.6,0.4,0,0,1,1.0
"Ronald kicked his shoes off and laid on the couch for a nap. When he woke up, he went to put his shoes on. But he couldn't lace them up because the strings were missing! He looked all over but couldn't find them. Ronald went to look for more laces.",3.0,0,0.8,0.6,3.2,3.6,1.8,0.6,1.0,0.8,0,0,1,1.0
"Harold was a mailman doing his job. He had one package with a mysterious address. Harold looked all over town, but could not find the house. He went to his van and looked it up in his database. Harold found the address was correct but the city was not.",1.6,0,0.6,0.8,3.0,2.2,2.8,0.8,1.8,1.0,0,0,1,1.0
Jan and Kim were both using the Montessori education model. Kim decided to take away all dragon and fantasy books from her kid. Jan was upset that Kim made this decision. Jan argued that imagination and fantasy was important. Jan brought the books back.,2.4,0,0.6,0.6,3.0,2.2,2.6,0.6,1.6,0.4,0,0,1,1.0
"I bought a backup drive for my wife's iPhone. She was running out of space on her phone. She has 1200 photos on her phone. I tried to back up her photos to a drive, but failed. There were too many photos to upload.",1.8,0,0.6,1.0,2.8,1.4,2.6,0.6,0.8,1.0,0,0,1,1.0
"Beth started collecting dolls. She bought dolls online and at flea markets and antique shops. Soon Beth's house was full of dolls. When a friend came to visit, there was no room to chat in the house. They had to move the dolls to sit down.",2.6,0,0.4,0.8,2.8,2.4,2.2,0.2,1.0,0.8,0,0,1,1.0
Jack went on a trip to the store. He really needed to buy some eggs. He looked everywhere but could not find them! He asked the clerk where they were. The clerk told him to find the eggs.,1.8,0,0.6,0.4,2.6,2.0,2.0,1.0,1.0,0.4,0,0,1,1.0
"John was writing lyrics for his new album. He started experiencing writer's block. He tried to force himself to write but it wouldn't do anything. He took a walk, hung out with some friends, and looked at nature. He felt inspiration and then went back home to write.",3.0,0,0.8,1.0,4.0,3.4,2.8,0.8,1.8,0.8,0,0,1,1.0
Kelly was rushing to get to her flight on time. Unfortunately security was taking forever. By the time she left securit she checked the time. It was six and her flight left a half hour ago. Kelly had to schedule another flight.,2.2,0,0.8,0.6,3.4,2.8,3.0,0.8,1.6,0.4,0,0,1,1.0
"Deb got fired from her job due to cutbacks. She was very upset and went home to sulk. Her husband told her everything would be alright, but Deb wasn't sure. The next day, Deb's husband set her up with a interview at his job. She got the job.",2.4,0,0.8,1.0,3.8,3.2,3.2,1.0,1.6,0.8,0,0,1,1.0
Ann was trying to quit smoking. She made several attempts but always failed. Then she applied to nicotine patch to help her. And help her it did! Ann was able to quit smoking successfully.,2.4,0,1.0,1.0,3.2,3.0,2.6,1.0,1.2,0.6,0,0,1,1.0
Javier always noticed the kids playing handball near his house. He wanted to join them but he was intimidated. One day he summoned the courage to play handball with them. He found that they were actually very nice. Javier began playing handball with them regularly.,2.4,0,1.0,1.0,3.8,3.8,3.4,1.0,1.6,1.0,0,0,1,1.0
Jake's hair was getting a bit too long. He had a job interview coming up. He asked his mother to cut his hair. His mother gave him a nicely cut professional looking haircut. Jake got the job.,2.6,0,0.6,0.8,3.4,3.4,2.2,0.4,0.6,0.6,0,0,1,1.0
"Harry secretly hated haunted houses, but couldn't let his friend down. Faking a brave face, the went forth into the darkened house. He managed to make it all way through without screaming out loud. At the very end, they fell through a trick floor into a bunch of goo. Harry wished he wouldn't have went.",2.4,0,1.0,0.6,3.2,2.8,2.8,1.0,1.2,0.8,0,0,1,1.0
"Kay built himself a raft. He used planks of scrap wood, and nails. He worked hard on it all spring. Come summer, he tested it out in the lake. Kay's raft floated.",1.8,0,0.8,0.6,3.2,3.2,3.0,0.6,1.2,0.6,0,0,1,1.0
Tim bought a record player at a thrift shop. He didn't have any records to play on it. He asked his parents if they had any. They gave him their entire record collection from their youth. He felt cool and retro when he played records at a party.,2.8,0,1.0,1.0,3.0,3.8,3.2,0.4,2.0,0.8,0,0,1,1.0
Rover liked playing fetch with his owner. One day his owner threw the ball too hard. It bounced across the street. Rover weaved through traffic with amazing skill. He fetched the ball and brought it back to his owner.,3.0,0,0.8,1.0,3.0,3.2,3.4,0.6,1.8,0.6,0,0,1,1.0
"Jack and Chad climbed down the Grand Canyon Wall. Jack paused to take a picture, leaning to get a good shot angle. Jack accidentally sat on a cactus. Needles were now stuck in Jack's pants. It took 20 minutes to remove the needles and continue climbing.",2.0,0,0.8,0.6,2.4,1.8,1.8,0.4,1.2,0.4,0,0,1,1.0
"Keira found a man she thought was a keeper. He had a great job, impressive house, and paid for all their dates. A few months into dating, Keira started planning her wedding dress. And then he hit her because she burned dinner. Keira cannot stay with this abusive man.",2.4,0,1.0,0.6,2.4,1.6,2.0,0.8,1.4,0.6,0,0,1,1.0
Jennifer was professional copywriter in a large city. She did good work but always received poor remarks on her reviews. Jennifer found out that her boss was trying to sabotage her! She decided to confront her boss about the negative remarks. Jennifer stormed into his office and straightened her boss out.,1.8,0,0.8,1.0,3.4,2.6,2.4,0.6,1.2,0.8,0,0,1,1.0
Bill and Teddy were at the bar together. Bill noticed a pretty girl. He went up to her to flirt but she didn't like him. He was too drunk to talk properly. Bill and Teddy talked loudly about how stuck up pretty girls are.,3.8,0,0.8,1.0,3.0,2.6,3.2,0.4,1.0,0.6,0,0,1,1.0
Oliva wanted to go shopping. She decided to go to the mall. She found a great sale on shoes. She bought three pairs. Oliva had a great day shopping.,3.2,0,1.0,0.8,3.4,3.4,3.0,0.4,0.6,0.6,0,0,1,1.0
Neil wanted to see a historical spot on his trip to London. He took a bus tour to an old prison. It was called the Tower of London. Neil learned the history of the impressive tower. He was fascinated.,2.4,0,1.0,0.8,3.0,3.4,3.4,0.4,1.2,0.8,0,0,1,1.0
Simon noticed a moving truck in front of the house next door. The family moving in had a teenage daughter and Simon was smitten. He worked up the courage to go over and introduce himself. She was shy but friendly and receptive enough to encourage him. He hung out with her all day.,3.0,0,0.8,0.8,2.4,3.4,3.6,0.4,1.2,0.8,0,0,1,1.0
Jose is an immigrant. He and his family came here from Mexico. Jose wants to take a trip to visit his other family members Mexico. He plans diligently and purchases the necessary travel items. Jose take the trip to Mexico.,2.4,0,0.6,1.0,3.2,2.6,3.2,0.4,1.2,0.4,0,0,1,1.0
Paul worked as order taker at a fast food drive thru. Customers noticed he had a really nice voice. People suggested he should work in radio. Paul quit his job at the fast food restaurant. Paul got a new job as a radio dj.,2.6,0,0.8,0.4,3.8,3.2,3.8,1.0,1.8,0.6,0,0,1,1.0
John was driving down the highway. A Mustang pulled up next to him and kept speed. He was driving his new Camaro. They decided to race. John won the race.,2.6,0,0.6,0.6,3.0,2.8,3.8,1.0,2.0,0.8,0,0,1,1.0
"Oscar headed over to the nursery to find a tree to plant in his yard. He had a hard time deciding which tree to get. There were a lot of trees to go through. Finally, he opted on a Bonsai tree. It went perfectly with his home decor.",3.2,0,0.8,0.6,3.8,3.0,2.4,0.4,1.2,1.0,0,0,1,1.0
Amy arrived home from volleyball practice and sat on the couch. Her mother walked in and gasped. She told Amy she needed to shower since she was sweaty. They argued since Amy thought it was no big deal. Amy gave in and took a shower.,2.8,0,0.8,1.0,3.0,3.0,2.4,0.8,1.0,0.8,0,0,1,1.0
Gina's local library had no books on dolphins. She needed to find another library. The closest one was downtown. Her mother refused to take her. Gina decided to walk instead.,3.2,0,0.8,1.0,3.4,2.4,2.6,0.4,0.8,0.6,0,0,1,1.0
Liz decided she was going to try to grow tomatoes. She had never grown anything before. She purchased seedlings from the garden center. All summer she looked after them like they were children! Eventually they grew delicious tomatoes.,3.2,0,1.0,0.8,4.0,3.2,2.6,0.4,1.0,1.0,0,0,1,1.0
"Jon graduated from college and began his job search. He applied for jobs in his field every day. Three weeks after he began, he got a call. The person calling asked if he would be interested in an interview. Jon accepted.",3.4,0,0.8,1.0,3.6,3.2,2.2,0.4,0.6,1.0,0,0,1,1.0
I got into my car and closed the door. I turned the engine on and started to drive. I was headed in the direction of the gas station. It was lunch time and I was starting to get hungry. I decided to buy chips at the gas station.,2.8,0,0.8,0.8,3.2,3.0,2.8,0.4,0.8,0.8,0,0,1,1.0
"Dani was a nurse in the ICU. One night her estranged father was one of her patients. Dani didn't want to, but she treated her father. As he got better, the two of them were able to talk. Dani got to know her father much better.",2.8,0,1.0,1.0,2.8,3.6,3.4,0.6,1.4,1.0,0,0,1,1.0
"Suzie decided to make her grandmother's spaghetti sauce. She made the sauce. She added mushrooms. She added the seasonings. Suzie tasted the sauce, and it was just right.",3.2,0,0.8,0.8,3.4,3.2,2.4,0.2,0.6,1.0,0,0,1,1.0
"Ana had been putting off doing laundry. Finally she could avoid it no longer. She carried all her clothes to the laundromat. Over several hours, she washed and dried them. Ana decided never to wait that long again.",2.4,0,0.8,0.8,3.0,2.8,3.0,0.6,0.6,0.8,0,0,1,1.0
Gina didn't want to sit at her desk near her old friends. She could feel the tension between them. She decided to ask to go to the library. Her teacher agreed to allow her to go for an hour. Gina felt more calm once she arrived in the library.,2.8,0,1.0,0.8,3.6,3.2,3.2,0.4,1.2,1.0,0,0,1,1.0
"Ron and Kim wanted a new house. Ron decided to work overtime at work as much as he could. In a few Years he had saved all his overtime pay and had lots of cash. He and Kim started shopping for a new, bigger home. They purchased a nice home in a new neighborhood.",2.4,0,1.0,1.0,3.8,3.8,3.4,0.6,1.6,0.8,0,0,1,1.0
My children and I visited the local animal shelter. We looked at puppies and kittens in their cages. My daughters picked out a friendly puppy. They played with her and rubbed her belly. I adopted the puppy for my daughter.,3.8,0,0.6,1.0,3.4,3.8,3.2,0.4,1.4,1.0,0,0,1,1.0
I put together a list of factoids and trivia. I included them in a small booklet. I got a bunch of them printed. I sold it as a coffeeeee table or bathroom reader. I made a little bit of money.,1.8,0,0.4,0.6,3.4,1.8,1.8,0.2,0.4,0.2,0,0,1,1.0
"John was a student in law school. He was having a tough time learning all of the material. John decided to do something about this. He met with the professors and got extra tutoring. Pretty soon, he was up to speed and feeling much more confident.",3.4,0,0.8,1.0,4.0,3.6,3.2,0.6,1.2,0.8,0,0,1,1.0
"Ellie had a lot of homework to do. She started with her math homework. After she had finished that, she wrote a book report. The last assignment was a study guide, which took her ten minutes. Ellie was felt prepared for her schooling.",3.0,0,1.0,0.6,3.8,2.8,2.6,0.2,0.6,0.6,0,0,1,1.0
Andrew had never been in trouble for anything. His parents were out of town for the week. Andrew's friends came over and wanted to drink. So Andrew took out his parents secret stash of alcohol. They drank the alcohol and got drunk.,3.8,0,0.6,0.8,2.6,3.0,3.0,0.8,1.4,0.8,0,0,1,1.0
"Jane was paranoid and valued her privacy. She went out to the mall to look for a privacy filter. At the mobile shop, she found one that would fit her phone. She had them install the privacy filter. That helped her feel more relaxed.",3.4,0,1.0,0.4,3.6,3.8,2.4,0.0,0.8,1.0,0,0,1,1.0
"Stan wanted to go on an adventure with Eric. But Eric's mom said that Eric could not come out and play. Stan begged and pleaded, but to no avail. Eric sneaked out of his house and knocked on Stan's window. The two boys went out to have their adventure without hesitation.",3.8,0,1.0,0.8,4.0,3.2,3.0,1.0,2.0,1.0,0,0,1,1.0
"Bryan was shopping for fruit for his family. He looked through the whole aisle but could not decide on a fruit. His wife hated grapes, his daughter hated apples. Even his son was a fussy fruit eater! Bryan decided to buy bananas.",3.2,0,1.0,0.6,3.4,3.0,2.2,0.4,1.2,1.0,0,0,1,1.0
Francisco is jealous of all his friends who go skiing in the winter. He decides he wants to ski too. Francisco works with an instructor to learn how to ski. He practices very hard. Francisco became a good skier.,3.0,0,0.8,1.0,4.0,3.2,2.8,0.6,1.2,0.8,0,0,1,1.0
Tim needed a new kitchen floor. His was old and cracked. So he went shopping for new tiles. He found great tiles and brought them home. He installed a beautiful new kitchen floor for his home.,3.4,0,1.0,1.0,4.0,3.4,1.8,0.0,1.0,1.0,0,0,1,1.0
"Jill had to attend a dancing class around 8 P.M. He got ready and drove to the meeting place. He was only of the first people to audition. After his performance, the judges were impressed. He received many awards for his dance performances.",2.0,0,1.0,0.6,2.4,2.8,2.6,0.6,1.4,1.0,0,0,1,1.0
Beth was expecting her first child. She was home doing light cleaning on a Sunday afternoon. All of a sudden her water broke. Beth was in labor for 2 days. Beth gave birth to a beautiful baby boy.,3.2,0,0.6,1.0,4.0,3.4,3.6,1.0,1.8,1.0,0,0,1,1.0
Brad wanted eggs for breakfast. Brad was all out of eggs! Brad cried for a long time. Brad's mother came home with eggs! Brad had delicious Eggs Benedict.,3.2,0,0.6,1.0,3.0,1.4,1.2,0.0,0.6,0.4,0,0,1,1.0
"Nina needed cash for a prom dress. She decided to deliver papers to earn money. She rode her bike passing out papers. After a week, it was time to collect her pay. She earned enough to buy the dress.",3.8,0,1.0,0.8,3.4,3.6,2.6,0.6,1.2,1.0,0,0,1,1.0
Neil was visiting the city of Luxor. He took a tour to learn about Egyptian history. They learned a lot of facts. Then they had a picnic lunch on the banks of the Nile. Neil had an amazing educational and cultural experience.,3.2,0,1.0,0.8,3.4,3.0,2.0,0.4,1.2,0.6,0,0,1,1.0
"Ellie wanted a fish tank. She went and bought a big aquarium. Then she filled it with fresh clean water and gravel. Lastly, she added her fish. Ellie thought it looked great.",3.2,1,1.0,1.0,3.8,2.4,2.0,0.4,0.8,0.8,1,0,1,1.0
Rocket was the nickname of Jose. He was nicknamed that because of his speed. One day he was running track at school tournament. He won first place as the fastest kid in school. Everybody complimented him for winning.,3.4,0,0.4,1.0,3.8,3.6,3.2,1.0,1.6,1.0,0,0,1,1.0
"Juan wanted a new guitar more than anything. He decided to save up money to buy one. All summer he worked, saving up every penny. Finally, he was able to buy the guitar. Juan was hardworking and patient.",3.6,1,1.0,1.0,3.4,3.4,3.2,0.6,1.4,0.8,1,0,1,1.0
After the state basketball championship reporters interviewed the team. Dan asked if this was live or recorded. The journalist informed him it was a live show. Dan said to the camera his father was his inspiration. Dan admired his father.,3.0,0,0.6,1.0,3.0,3.6,3.0,0.2,1.0,1.0,0,0,1,1.0
Tony was tired of stale store bought bread. He called his mom and got her bread recipe. Tony gathered the ingredients that he needed. Tony baked the bread according to the recipe. It was some of the best bread he has had.,2.0,0,0.6,1.0,3.6,2.8,3.4,1.0,2.0,0.8,0,0,1,1.0
Danny wanted  to  learn  how  to  make  fried  rice. His  friend  decided  to  teach him. His friend went to his house and taught him. Danny tried making it for himself. Danny did a great job.,2.6,0,1.0,1.0,3.8,3.0,2.8,0.4,1.2,0.8,0,0,1,1.0
"Jason's best friend is getting married in India next year. Jason decides that he wants to learn Hindi before the wedding. He hires a tutor and practices speaking Hindi every day. When the wedding day arrives, Jason is fluent in Hindi! Everyone was impressed that Jason had become bilingual.",2.2,0,1.0,1.0,3.4,4.0,4.0,1.0,2.0,1.0,0,0,1,1.0
Ed challenged his brother to a basketball game. The two guys played a friendly match. The score was almost tied. Then Ed made a slam dunk. Ed won the game.,2.6,0,0.6,0.6,3.4,3.2,2.6,0.6,1.2,0.8,0,0,1,1.0
Lee knew her mom needed new gloves and could not afford them. So Lee began to knit a pair. She hurried to finish them by Christmas. Then she presented them to her mom. Lee's mom was proud of her daughter for being so thoughtful.,3.6,0,0.6,1.0,3.8,3.0,3.8,0.8,2.0,0.6,0,0,1,1.0
"Jane wanted to learn how to juggle. Jane consulted with a professional juggler to teach her. Jane went to three classes with the professional juggler. After three weeks, Jane was juggling. Jane had a natural talent.",3.0,0,1.0,0.8,3.8,2.2,2.2,0.2,1.2,0.8,0,0,1,1.0
"Neil was touring the city of Fez. He tasted their ethnic cuisine. Then he went shopping for souvenirs. Fez had great street performers as well, he noted. Neil had a great time.",3.2,0,0.6,1.0,3.4,3.0,2.4,0.2,1.6,0.8,0,0,1,1.0
"Beth was making mashed potatoes from scratch. After cooking the potatoes it was time to mash them. Her mother didn't have a food processor, Beth had to mash by hand. It was hard work which took hours. Beth was dedicated to making great mashed potatoes.",2.6,0,0.2,1.0,4.0,3.2,1.6,0.2,0.8,0.8,0,0,1,1.0
