story,arc
"Sean and Sara were going to buy a guitar. Sean picked Sara up and they drove to the store. Inside, they played with several different guitars. Sara picked her favorite and they brought it to the counter. Sara made the purchase enthusiastically.",neutral - joy
Chris was not looking forward to going to school on Friday. There was a difficult test coming that he was not ready for. When he went to bed on Thursday he was worried. When he woke up Friday morning almost a foot of snow had fallen! Bill felt relieved.,neutral - surprise - nervousness - surprise - relief
"Martha was a terrible cook and her boyfriend knew it. He introduced her to cooking shows and watched them with her. She would practice things she learned on the shows. As the days went by her cooking began to slowly get better. After a while, everything Martha cooked was delicious.",disgust - neutral - optimism - admiration
"There was a stray cat who loved my cat. He came by to see her everyday. I eventually took him in and let him inside, and named him Tokyo. He got very sick, out of nowhere. I took him to the vet to treat him and he got better.",love - neutral - caring
An office downtown had a red carpet. The office staff complained it was always dirty. But none of their vacuums could properly clean it. So they hired a professional carpet cleaner. The carpet looked almost new after it was cleaned.,approval - disgust - disapproval - neutral - disapproval
Lexi wanted to be healthy. But she wanted hot cocoa. So she decided not to add any sugar. The hot cocoa tasted boring. Being healthy isn't always fun.,desire - neutral - disappointment - neutral
"Anna wanted chicken wings. She drove her car all the way to Buffalo. There, she found an authentic wing restaurant. She ordered herself a dozen hot wings. Anna ate all the wings as she drove home.",neutral
My brother kept fighting me for the remote last week. Finally we decided to divide its use. We would each get to have it one day. My brother then got into a fight who should have it the first day. I agreed to let my brother use the remote first.,neutral - approval - neutral - approval
"Ivy was flying in a small sightseeing plane. Suddenly the pilot made an announcement. The plane had a rudder problem and was going down! Ivy quickly braced in the crash position. When the plane suddenly corrected, Ivy felt a wave of relief.",neutral - approval - relief
Joey was a second grader that like to color in coloring books. He had worn down most of his crayons so he only had brown and black. His parents thought that Joey was an artist because of his odd colors. They hung his work on the fridge for everyone to admire. Joey felt proud of himself.,approval - neutral - admiration - pride
"John had a huge client presentation tomorrow, but he felt unprepared. It's not that he was nervous presenting. John had always felt comfortable in front of crowds. This content, however, lacked polish and needed refinement. John reworked the presentation, and it was a great success.",neutral - approval - disapproval - admiration
"Gina was using a restroom at a gas station. She went to wash her hands, but there was no soap. She looked in the cabinet under the sink hoping to find some. There was no soap there either. So she had to settle for rinsing her hands off.",neutral
"When it was time to eat, Mother rang the bell. Dad and Bill knew that sound when they heard it. They dropped their yard work, carefully, and washed their hands. Mother was happy when they finally arrived in the house. The family sat down, and enjoyed a meal together.",neutral - joy
"Emmy's dad took her to chose a kitten. There were two together in a cage. She couldn't split them up! It made her sad to have to chose. Then, Emmy's dad said she could keep both kittens.",neutral - sadness - neutral
"Kyle collected many things. He had an extensive collection of action figures. Every day, he went looking for new figures for his collection. He managed to add a new figure once a month or so. Kyle was really into Marvel heros.",neutral - realization - neutral
"Francine noticed that all of her friends wore high heeled shoes. Although she loved how heels looked, she hated how they felt. One day she decided to wear a pair of flats to meet her friends. All of her friends complimented how great they looked. Francine was glad that she wore comfortable  shoes!",realization - disgust - neutral - admiration - relief
"When I was young I loved hide and sneak. I would play it even when others didn't know. I would just hide and jump out at people. I did this all the time in elementary school. When I got older, I had to stop jumping out at people.",love - approval - fear - neutral - realization
One summer my sister and I set up a lemonade stand. It was the first month at a new house and we didn't know anyone. Few people walked by and even fewer stopped. The old pastor walked over from next door. He bought lemonade and made us feel welcome in the neighborhood.,neutral - excitement - neutral - gratitude
Jorie went with her family to visit Anne Frank's home in Amsterdam. She read the book beforehand. She thought the home was quite small. Her mother cried while watching through the museum. Jorie admitted it was a very emotional tour.,neutral - sadness
Clara went home from work one day. Then she realized she had locked herself out! Her keys were left on the kitchen table that morning. She had to call her mom for help. Clara's mom helped right away.,neutral - realization - neutral
The other day I was cleaning up a bit around the apartment. I decided to get rid of all the clutter and papers on the table. Underneath all of them was an older letter from my girlfriend. It said she wanted to break up with me. I was angry and confused by the letter.,joy - approval - neutral - confusion
Ben was married to his high school sweetheart. They were married for many Year's. Ben realized one day that he was unhappy in his marriage. He decided to have an affair. His wife found out and they got a divorce.,neutral - realization - neutral
"One man bet another that he could outstare a duck. A duck was found and stared at. Although the duck was unaware of what was happening, it did not blink. It did, however, wet its eyes with its nictitating membrane. The man eventually blinked.",neutral - realization
Shay went to the marine park. There she saw a sign advertising dolphin swims. Shay eagerly handed over her $40 and suited up. Then she jumped in the pool to swim with the dolphins. Shay had a great time.,neutral - excitement - neutral - caring
Lia went to England. She took a bus tour. The tour stopped at Stonehenge. Lia got out of the bus to look. Lia took many photos of Stonehenge.,neutral
I was drinking a glass of juice. My cup spilled on the counter. I looked for something to clean the spill. I found a pack of paper towels. I mopped up the mess.,approval - neutral - approval - neutral - relief
Arthur and his friends were hanging out. They were drinking beers and talking. All of a sudden the beer ran out. Arthur didn't want to take the last one. Arthur ordered another round for his friends.,neutral - surprise - neutral
"Jill wanted to buy a new car. Jill drove her old car down to the car dealership. The salesman traded Jill's old car for a new car. After paying the salesman as well, Jill got her new car. Jill was excited.",desire - neutral - excitement
"Jaden was quite forgetful. He had not noticed that it was already Valentine's Day. Feeling rushed, he went out and got some flowers and chocolate. Jaden's girlfriend came home and found the treats. Jaden had saved the day.",realization - neutral
John got a bike for his birthday. He didn't know how to ride. He practiced all week long. At the end of the week he took off his training wheels. He was able to ride the bike just fine without them.,excitement - neutral - admiration - realization - approval
"Quentin had never been on a boat in his life. One summer a friend invited Quentin to his lake house. When they were there, Quentin and his friend went sailing. It was an exhilarating experience. Quentin was glad that he went.",neutral - excitement - joy
A man ordered pancakes in a diner from the server. She brought him a plate of pancakes minutes later. The man complained that the pancakes were too thick. The server brought them back to the cook. The cook decided to remake the pancakes.,neutral
"My garden flowers are dying. They are wilting and dry from the sun. My friend came by to help evaluate what is wrong with my plants. She discovered they needed more water. After watering them more, my plants look better than ever.",sadness - neutral - realization
Jill was playing video games with her sister. Jill was angry that she was losing every game. Jill took her game controller and threw it at the TV. The TV screen cracked right down the center. Jill and her sister could not play any more videogames.,neutral - anger - neutral
"I started to binge-watch ""Buffy the Vampire Slayer"". After a few hours, I felt like running. Unfortunately, it was dark outside. I stood in the doorway for a while. Then I imagined that I was Buffy and went running.",approval - realization - disappointment - realization - fear
"At 12 Year's old, Drew decided to be a criminal. He made up his mind to kick in doors and rob houses. He practiced kicking in the doors of closets to build his strength. His mother came home and saw all the closet doors broken. His mother was very angry.",neutral
"For a long time, every time I made hardboiled eggs, they came out bad. I looked all over the internet for a solution to my problem. A website suggested I bake my eggs instead of boil them. I did just as it asked. The baked eggs were great.",disappointment - curiosity - neutral - approval - admiration
"A boy saw a quarter lying on the sidewalk. He bent down and picked it up. As he did so, a spitball flew where his head had been. Looking around, he saw his archenemy holding a straw. The boy was angry.",neutral - anger
"Tom wanted to go to a New York Giants game. However, the tickets were too expensive. Finally, he found tickets that were in his price range. He ended up sitting in the upper deck. He enjoyed watching the game anyway.",neutral - realization - neutral - joy
Trip loved watermelon. He would eat at least one a day. His mom always told him he would grow a tree swallowing seeds. He always swallowed them anyways. Trip enjoyed the flavor of the seeds.,love - neutral - joy
"Angie, an MTurk worker, saw herself as diligent. One day one of her favorite requesters rejected her work. Angie was very surprised and emailed them. They responded that her work hadn't been good enough. Angie tried to discuss the issue in detail.",neutral - love - surprise - disapproval - neutral
Donovan asked Trina to go dancing with him. Trina liked Donovan so she said yes but she was really worried. After school she ran home to ask her Dad for help. When her Dad came home she explained the situation and Dad smiled. Trina's dad taught her how to dance.,neutral
"Ned and his friends went to the fair. He used the last of his money to buy a fluffy cotton candy. As he was walking away, he saw a little boy crying. He had dropped his cotton candy into a puddle. So Ned gave him his own cotton candy.",neutral
Sebastian noticed it was sunny and warm out. He had chores to do. He didn't feel like doing his chores. Sebastian decided that being outdoors was better. Sebastian walked outdoors and went for a walk.,realization - neutral - realization - neutral
Rashid was an excellent car driver. One day Rashid's brother was late for work. Rashid offered to drive his brother. They got there with time to spare. His brother was grateful.,admiration - neutral - gratitude
"Ali went to a fast food place and paid with her credit card. The cashier took a very long time bringing her card back. A few days later, Ali found unusual transactions on her card. She called her bank, who reversed the charges. She wondered if the cashier had stolen her information.",neutral - surprise
I was looking for a nice painting for my living room. Hence yesterday I went out looking. I finally found a beautiful one I loved. The painting was of a waterfall. I purchased it and brought it home.,approval - neutral - love - neutral
"I was wanting to get a promotion. I decided to try to get promoted. All year, I worked very hard. My boss took notice and called me into his office one day. I received the promotion I wanted.",desire - admiration - neutral - joy
Dan was walking home from school and saw the window display. There was a train set in the window of the store. Dan wished so badly that he could own this train set. When Dan got home his mother told him she had a surprise. She gave Dan the train.,neutral - desire - neutral
Gina wanted to steal her mother's house key. She waited until her mother was taking a nap. She took her mom's purse to the bathroom. She removed the key from the chain quietly. Then Gina placed the purse right back where she found it.,neutral
There was a man from kentucky. He loved a girl who lived in Louisiana. He decided he needed to move. He moved to be with his love. The man moved to Kentucky.,neutral - love - neutral
Tim was failing math class. He knew if he didn't pass he would have to go to summer school. He studied hard and asked for extra credit. On the last day of school he found out he passed! Tim was thrilled.,sadness - optimism - admiration - sadness - joy
"Mary-Anne was feeling lonely and decided to adopt a cat. She went to her local humane society to start the process. While she was looking, one of the cats meowed at her. Mary-Anne pet the cat, and it was love at first sight. She took the cat home with her.",love - neutral - love - neutral
"I took gymnastics as a child. I was learning the balance beam and doing moves on it. As I did a round off flipping off the beam, I landed wrong. I broke my ankle and was in so much pain! I was rushed to the hospital.",neutral - embarrassment - sadness
There were six puppies running around my foyer. It was going to be hard to choose the one we wanted to buy. Each of my daughters picked out a different pup. The owner said we could get a discount on two dogs. We each bought one dog.,neutral - love - neutral
"Johnny wanted a change from his big city life in Boston. He decided he would be happier in America's Heartland. Finally the day had arrived, Johnny moved to Idaho. He had escaped the big city life. Johnny was happy to be in a small town.",approval - joy - neutral - joy
Joan hated going home for Christmas. She knew that her mother would hound her about her love life. This year on her way home she was in a car accident. Her mother raced to her side to care for her needs. Joan felt good at seeing her mother's face.,sadness - neutral - joy
"I spend all of my time working on my writing. As a result I have begun to feel quite lonely. I've decided to join an online dating community. As I join, I realize that I don't particularly like other people. I began to write more.",joy - sadness - approval - realization - neutral
My daughter was a girl scout in elementary school. One day she went on an overnight field trip. My wife went as a chaperone. Everyone stayed in a cabin in New Hampshire for a weekend. My daughter never forgot her field trip.,neutral - approval - sadness
Today was the club opening of a new club around the corner. I couldn't wait to attend. As we got in the club it was beautiful. We ordered delicious food and danced. We befriended the bouncer so we would get into the club tomorrow.,neutral - excitement - admiration - neutral - approval
Yesterday I was carrying a new glass into the kitchen. To my surprise I dropped it. The glass shattered. I had to pick it up. I cut myself on a small piece.,neutral - surprise - neutral
Allison decided she wanted to learn more about her area's history. She went down to the library to check out a book on it. She went inside and couldn't understand how the books were sorted. She found a librarian who explained the dewey decimal system. That helped her find what she wanted.,neutral
Sebastian wanted to play football on his friends team. He talked to his friend and found out he needed to go to practice. He practiced catching the football at home all week. He went to the next practice and scored a touchdown. Sebastian was happy that his practice paid off.,neutral - joy
"Once there was a mother who was desperate for her baby to sleep. She walked him around but still he did not sleep. She fed him but still he did not sleep. Finally, she remembered the lullaby her mother had sung to her. The mother gently sung the lullaby to her baby.",neutral
Johnny used to pee in swimming pools  as a kid. He thought he could do it as an adult. He took his kids to a water park. Next he peed in the wading pool. Some people noticed and Johnny got in trouble.,disgust - neutral - realization
Amy watched the other kids play and stared at her inhaler. Because of asthma she couldn't play sports. She felt her art teacher's hand on her shoulder. Her teacher smiled and told Amy she would be a great artist one day. Amy felt so much better.,neutral - amusement - approval
"Joe and his friends had their soccer game today. Joe was nervous. He was nervous if he would win or not. Finally after the game, Joe's team won. Joe was very proud of his team.",neutral - nervousness - joy - pride
Mark had a big interview for a new job. He prepared himself for the questions they may ask. The interviewer seemed to be impressed with Mark's answers. The interviewer informed Mark he had the job. Mark was very happy.,excitement - neutral - joy
"Elaine did not feel like cooking tonight. Therefore, Elaine decided that she would go out to eat. However, Elaine did not know where she wanted to eat. Elaine deliberated on where she should go for almost an hour. Elaine found it difficult to make up her mind.",neutral
Sam was trying to get into the college of his dream. He spent a long time filling out the application. It made him feel good about his academic achievements. He submitted the application. 3 months later he received an acceptance letter.,desire - neutral - joy - neutral - approval
"Matt decided to go bar hopping with his two friends one night. They drank 3 shots in one bar. They went to 4 more, drinking 3 shots in each. Matt ended up getting too drunk and lost his phone. Matt and friends walked home and slept it off.",neutral
Bindu planned a party with her friends. They met at her house to discuss what food and band to use. One of Bindu's friends brought samosas and doogh. Four friends played music at the party. Everyone had a great time.,neutral - joy
Tyler wakes up and needs to shower before school. His little brother is using the shower. Tyler is worried he will miss the bus. Finally it is Tyler's turn to shower. Tyler takes a quick shower and gets to the bus stop on time.,neutral - nervousness - neutral
Thomas had been feeling under the radar lately. He went to his doctor to get a checkup. His doctor told him that his cholesterol levels were a little bit high. Thomas started eating healthier and going on walks. His doctor was very pleased at his next checkup.,neutral
The doorbell rang but no one was there. She was unsure as to whether she should open the door or not. Slowly she creaked open the door and peered outside. Her brother leaped out at her and gave her a good scare. She screamed and pushed her brother away.,disappointment - confusion - realization - neutral - anger
Stephanie wanted to make applesauce. She decided to drive to the farm market to pick some delicious apples. As she was walking through the orchard she tripped and fell. She broke both of her wrists. Stephanie could not get up until someone found her.,neutral - disappointment - realization
Roy couldn't figure out why his apartment smelled so bad. His friends commented on it when they went over. Everyone decided to look for the source. It turned out to be an old fish in the refrigerator. Roy threw out the old fisher and everything smelled better.,confusion - neutral - realization - disgust
"Jimmy grew up very poor. However, his parents always did his best to provide for him. When he got into a good college, they worked two jobs to afford it. When he graduated, he wanted to show his appreciation. So he repaid them for college.",sadness - neutral - admiration - neutral
"Jill was surprised when a handsome boy asked her to the college dance. As her roommates got ready, Jill fussed about her hair. Jill's roommates said they could help. Jill finished dressing into her toga-like white gown. Her date arrived and complimented her appearance.",surprise - neutral - admiration
A bar owner put out a large banner to advertise his bar. The wind was strong and blew the banner away. The owner chased his banned across town. It landed in the backyard of an old woman. The old woman refused to give back the banner.,neutral - disapproval
My mother has a recipe for pumpkin bars that I like quite a lot. She once made them for me because I was having a bad day. I ate the pumpkin bars and I felt much better. The bars reminded me that my mother cares about me. I made pumpkin bars later in life and they reminded me of my mom.,love - sadness - relief - realization
"Tim decided to spend more time with his granddad. His grandpa loved birdwatching, so Tim watched with him. They marked their sightings in a notebook. Soon Tim was really interested! Tim and his grandad found a hobby that they both enjoyed.",neutral - joy
"Danny was working at the local ice cream shop this summer. He was very excited to have started his first job. On his first day a little boy dropped his ice cream on the floor. Without hesitation, Danny knew just what to do. He gave him another scoop of ice cream.",neutral - excitement - neutral - approval - neutral
Laurence and his family decided to move. First they packed up their furniture. They then packed up everything else. All their belongings were moved into the van. Laurence and his family drove to their new home.,neutral
"Joy wanted to find the perfect shell for her hermit crab. She could buy one, but it would be more special if she found it. She scoured the beach all morning. Everything that might work was broken! She had to buy a shell after all.",desire - curiosity - fear - disappointment - neutral
Westin was getting married! He wanted his wedding to go perfectly. Everything went well until the evening. Someone got very intoxicated and fell into the cake! Weston and his wife kicked out the intoxicated person.,neutral - desire - caring - joy - neutral
Joe was helping his dad clear the woods in the back of their yard. All of a sudden he heard loud buzzing. He had stirred up a bee's nest. He got stung six times before he could escape. Joe was angry he got hurt.,neutral - surprise - neutral - fear - neutral
"Tim had dreams of becoming a great bodybuilder. He worked out every night to try to reach his goal. His hard work paid off and he earned a spot in a popular contest. He showed his skills, lifting more than 250 lbs. Tim was very determined.",desire - admiration
"Henry was walking to his class. At the same time, he was trying to clean his phone screen with a cloth. Unfortunately, someone bumped into him. His phone fell out of his hand and landed on the ground. The person apologized to Henry.",neutral - disappointment - neutral
"Tami decided to attend volleyball tryouts. She was only in the 8th grade, but she knew she was good. She played hard and gave it her all. She hadn't anticipated the other players would be as good as her. All the players were good but she made the team.",neutral - approval - admiration - surprise - admiration
"Bob and Jim were playing ball in the house one day. They knocked over the vase and it broke into many pieces. They were afraid their mom would get angry at them. They found some glue, and carefully glued the vase back together. The glue held the vase together and their mom never found out.",neutral
Steve was very sad. Steve's girlfriend broke up with him. He decided to write a song to her. He poured his heart into the song. Steve wondered if they could ever get back together.,sadness - neutral - curiosity
"Lauren has always wanted to wear skinny jeans to parties. However, she needs to lose weight so the skinny jeans will look good. Lauren begins a challenging exercise regimen. Finally she has lost enough weight to wear skinny jeans. She wore them proudly to the next party.",neutral - pride
"Sonny lived in Texas, and it was a hot summer. He was so sick of the heat. He decided to find a way to cool off. At first, he couldn't think of anything. He then decided to jump into his pool.",approval - sadness - neutral
"Ronald had two kids, a boy and a girl. That was more than enough. He really didn't want two to be honest. One day his wife told him baby three was on the way. He was deeply unhappy but afraid to leave.",neutral - approval - neutral - sadness
I was taking a hike last Wednesday. While walking I stumbled across something that scared me. Their in front me was a 4 foot snake with beady eyes. I screamed and ran all the way back to the main road. I followed the road back to my car.,approval - fear - neutral - fear - neutral
Mary liked to drink coffee every morning. Today she was in a hurry. She went to a drive through coffee place. She noticed the coffee was the wrong order after she drove away. Mary kept driving and drank it anyway.,neutral - realization - neutral
"Billy wanted to become a doctor. He went to college to become a doctor. After he graduated with his degree, he changed his mind. Billy became a nurse instead of a doctor. He never regretted his decision.",desire - neutral
"Quinton was getting evicted from his apartment. He was broke with no income. One day, he decided to spend his last dollar on the lotto. To his disbelief, he won $50,000! Quinton was so happy.",neutral - sadness - neutral - surprise - joy
After Igor woke up he began to get ready for work. He turned on the shower and waited for it to get hot. The water remained cold. He debated between taking a cold shower and not showering. Igor took a cold shower.,neutral
Tara preferred big band music to all alternatives. She loved all the horns and other brass instruments involved. She tried to find fellow big band lovers. Her attempts were futile. Tara still enjoyed listening on her own!,neutral - love - neutral - gratitude - joy
"I traveled to Washington DC to visit my boyfriend. We went many places around town. But one place I wanted to go was the White House. He took me to the White House, and I was so happy. We took the tour and enjoyed the history of the place.",neutral - desire - joy
"My son bought a drum set for his one year old niece last fall. The set had drumsticks, a cymbal, and a seat. His niece lives in NYC. She saw it when she visited, and was thrilled. She wanted to play the drums.",neutral - joy - neutral
Maggie had her first piano recital tonight. She was very nervous. When she got on stage she was shaking. Thankfully she ended up playing perfectly. Maggie was encouraged to do more.,excitement - nervousness - neutral - optimism - joy
I decided I wanted to sign up for a christmas club with my bank. I called the teller and asked when i could do this. She told me I could come in at any time. I went in this morning and signed up for the plan. I am glad I signed up.,approval - neutral - approval - joy
"Mac had a vegan friend coming for dinner. He groaned, knowing he couldn't make steak or hamburgers. Then he remembered an alfredo sauce recipe made with cashews. To his surprise, the sauce came out creamy and delicious. They all enjoyed the meal.",neutral - surprise - joy
"Ryan used to work for mall security. He often worked the night shift. One day, he saw a raccoon in the mall. He stared at it for hours until it left. Ryan decided his job was rather dull.",neutral - curiosity - realization
"Johnny's teacher treated the class to homemade snow cones. The teacher let each student pick a colored syrup topping. When his turn came, Johnny got mad when he saw only one color left. Johnny's teacher asked what was wrong. Johnny told the teacher he was upset he didn't get more colors.",neutral
Jill convinced her boyfriend Joe to go look for Geocache with her. He didn't think it sounded like fun but decided to humor her. They searched the location where the Geocache was supposed to be. After over an hour of searching they were unable to find it. Jill hoped they would find it soon.,neutral - amusement - neutral - disappointment - optimism
Brigid and her friend Ella both took piano lessons. Ella's father bought her an expensive grand piano by a renowned maker. Brigid's father could only afford to buy her a used upright piano. But Ella was a foolish and insensitive girl who never practiced. Ella did not ever become good at piano.,neutral - annoyance - disappointment
Dave wanted buy a gun. He went to the gun store and asked many questions. He looked at big guns and little guns. He decided he wanted to buy a big shotgun. Dave bought it and enjoyed his purchase.,neutral - joy
"Rose took a train to Long Island. There, she went to the very tip of the island. She went to the beach at Montauk Point. It was cold and windswept. Rose shielded her face from the wind.",neutral
"Drew was using a typewriter for a special project. He tried to be careful since he couldn't erase his words. However, he ended up falling asleep. His head landed on the keys and several letters were typed. Drew had to start typing the paper over again.",neutral - caring - neutral
"Sarah always had a fascination with the night sky. Noticing her passion, Sarah's father bought her a new telescope. She was ecstatic. She went outside every night to diligently view the night sky. Sarah loved her new telescope.",curiosity - surprise - joy - neutral - love
Kristen was tired of her room. She need to move it around for a change. She hadn't moved it in over four Year's. After moving everything she saw a huge stain where her bed covered. She decided to put a rug over the stain.,neutral - disgust - neutral
"My sister moved in with me when she was 35. She'd been living with a wife beater in a rundown trailer park. The man tracked her down to my house one cold, dark night. He broke into my house while we were sleeping. We woke up to find him sneaking in the through a window.",neutral
My parents fell out of love. I'm not sure when it happened but it seems to have been mutual. They decided to end things amicably. Although I'm hurt by this I'm glad they chose what makes them happy. My parents was to live separate lives.,love - confusion - neutral - joy - sadness
"Anna was going to have a baby sibling. Her mom went into the hospital and Anna was hopeful. She really wanted a little sister, but not a brother! When her mom returned home with the baby, Anna was overjoyed. The new baby was a girl.",sadness - optimism - neutral - joy - neutral
Monica decided to play Truth or Dare with her friends. They were all afraid to confess anything and only picked Dare. The Dares got progressively more elaborate as the day wore on. Monica dared a friend to shoplift doritos and the friend did it. Monica and her friends enjoyed the doritos before the next Dare.,neutral - joy
"Ray went to a friend's house for a sleepover. He realized that he'd forgotten his toothbrush. He was unable to brush his teeth! Ray tried to use toothpaste on his finger, but it was no use. Finally, Ray  asked his friend if he had a spare toothbrush.",neutral - realization - neutral - disappointment - neutral
"Ellie had a lot of homework to do. She started with her math homework. After she had finished that, she wrote a book report. The last assignment was a study guide, which took her ten minutes. Ellie was felt prepared for her schooling.",neutral - approval
Don loved comic books. He consistently collected issues of his favorite stories. As he grew older his love for comics grew. He decided that he wanted to start his own comic book company. He named it Don's Comics.,love - neutral - love - neutral
Arnold was scared of bats. He thought that if they bite him he would turn into a vampire. One day he saw a bat in his bathroom. He freaked out so much he screamed. The bat flew directly toward the source of the scream.,fear - neutral - fear - neutral
"Sean was homeless. He begged for money on the streets. For one week, no one gave him money. He was starving. Sean decided to go to a shelter.",sadness - neutral - sadness - neutral
Two hobos agreed to make dinner together. Each set out to find ingredients. The first returned with a worn boot. The second returned with a gross of wing nuts. They decided that they could not make a meal.,joy - neutral
"Judy and Bill were preparing to have dinner with their parents. Judy makes a roast with potatoes and rolls with gravy. Bill sets the table and puts on some background music. The doorbell rings, it is their parents. Judy and Bill were very prepared.",neutral - optimism
Sal hurt his leg when his wife accidentally tripped him. She felt so bad that she waited on him hand and foot. She bought him food and gave him messages. Sal liked all the attention. Sal's leg eventually healed.,neutral - sadness - neutral - love - neutral
One weekend we wanted to see a movie with the kids. There were two movies they wanted to see. So we decided to divide and conquer. Two kids and myself went to one and my husband and our son another. Both groups had a great time seeing the movies they wanted.,desire - neutral - admiration
Amy's sister took her to the beach to surf on her vacation. Amy hurriedly suited up in her wetsuit. The instructor was patient when Amy couldn't get the hang of it. Finally it was time for Amy to try on her own. Amy was surprised that she did a good job.,neutral - surprise
"Kay built himself a raft. He used planks of scrap wood, and nails. He worked hard on it all spring. Come summer, he tested it out in the lake. Kay's raft floated.",neutral - admiration - neutral
"Max was a very bright boy. But he would become lost in his own vivid imagination. No matter how hard he tried, he found himself daydreaming. Max did not do very well in school. Max consistently failed.",admiration - disappointment - neutral - sadness - disappointment
"Gina was at a funeral for her grandpa. Gina watched as friends made remarks, and told stories about him. The stories were funny and interesting. Gina got a chance to see her grandpa in a different light. She knew he was someone she would always remember.",grief - neutral - amusement - neutral
Ashley has felt sick all day today. She feels like she is going to throw up. She asks her boss if she can go home for the day. Her boss lets her leave work. Ashley went home and went to bed to get better.,neutral
Marley sleeps horribly every night. She decides that she needs to get a new bed. She went to the closest store but couldn't find a bed she liked. She told her mom about her sleeping problems. Her mom brought her to a sleep specialist.,fear - neutral
"Joe is an aspiring journalist. But he's been feeling pretty frustrated by the news media. He considered going back to school, but decided against it. Finally, he landed a well-paying job. Joe was grateful and then went to work.",neutral - anger - neutral - approval - gratitude
Lizzy lives on an island in the tropics. Everyday they go to the banana plantation and get some. Today Lizzy wanted to pick her own bananas. She climbed the tall tree and realized how big the bunches were. Lizzy needed help to get the bananas down.,neutral - realization - caring
"In 1997 I rode on an old bus. A local group rented a 1957 transit bus, painted in old colors. I rode on the bus as it went all over suburban Boston. I took plenty of photos. I had a great time!",approval - neutral - joy
Bryan wondered why his arms itched. He scratched his arms until they left scars because it was so bad. He finally went to the doctor and he found out he had poison ivy. The doctor gave him ointment and some antibiotics. Bryan went home relieved.,surprise - disgust - neutral - relief
Tony and Mark were fierce rivals on the basketball court. Everyday after school they would meet at the local blacktop to play. They would always play one on one. They were always so evenly matched. The games were very close.,neutral - joy - neutral - approval
Becky and her friends decided to make some candy bars. The got all the ingredients together and got to it. The girls had a ton of fun. When the candy cooled they put them in bags. Her friends suggested she should sell the candy at a bake sale.,joy - neutral - joy - neutral
Robin went to the gym. She worked out for 2 hours. While at the gym she did arms and abs. She was determined to get in shape. She continued to work out for the rest of the year.,neutral - desire - admiration
"Rachelle worked hard to buy her first home. She was very proud of her accomplishment. Unfortunately, she lost her job and eventually, her home. She decided to stay in a hotel and find a new job. She became depressed.",desire - pride - sadness - neutral - sadness
Bill saved all his pocket change for 2 weeks last month. It was for a sucker from the store. He brought all his chance and bought the sucker. Walking home he tripped and fell. Bill was sad to see the sucker covered with dirt on the ground.,neutral - anger - neutral - disappointment - sadness
"Neil was visiting Romania. He had just arrived and was excited to see Transylvania. When he got there, he saw gorgeous old castles. He also found friendly locals. Neil enjoyed visiting Transylvania.",neutral - excitement - admiration - neutral - joy
Last week a stunt double tried a new stunt. It involved a big car crash. Something went wrong and one of the safety harnesses snapped. The stunt man was ejected from his seat. The stunt man was paralyzed.,neutral - disappointment - neutral - nervousness
"Pamela was so excited to finally have a boyfriend, Ralph. Ralph never listened to what she said. He rarely showed up on time. He flirted too much with other girls. Pamela decided to break up with Ralph.",excitement - neutral - amusement - neutral
Helen wanted to go to space. She decided to become an astronaut. She studied very hard. She  passed all the tests! Helen looked forward to her first mission.,neutral - admiration - excitement
Hailey liked to play with her friends. She had a playdate every week. One day Hailey's mom got in an argument with one of the other moms. Hailey was told they were never going back. Hailey cried to think that she would not see her friends.,joy - neutral - sadness
"Maybelle's breath always smelled like peppermints. Her house did as well, or at least that's what he remembers. To this day he keeps peppermints in his cupboards. They remind him of his grandma and what she meant to him. It is a fond memory.",neutral - gratitude - neutral - joy
"Valerie decided she wanted to learn German. She signed up for a class to teach her. When she wasn't in class, she studied very hard. Soon, she decided to practice speaking German with a German friend. Valerie wanted to visit Germany.",neutral - admiration - realization - desire
Tim just got a new phone. He had dropped it a few time hours within getting it. He decided he needed a case to protect his phone. He went to the local store and purchased a waterproof phone case. Tim didn't have to worry about dropping it in water anymore.,neutral
Gina's family pulled into a rest stop off the highway. Gina got out and stretched her legs. At the stop there was a gas station and a Burger King. Gina normally didn't like Burger King's fries. Gina was so hungry that the fries tasted good this time.,neutral - joy
I got a call late one night. Thinking it was one of my friends I answered. The woman who was on the other line was unfamiliar to me. I asked who it was and why they were calling. She said she was my long lost mother.,approval - neutral - confusion - curiosity - neutral
Nelly the cashier was having a bad day at the store. She kept making small mistakes and people were getting mad. Even her last customer was mad and it wasn't even her fault. As soon as it was time for her break she dashed outside. The fresh air was exactly what Nelly needed to clear her head.,annoyance - anger - neutral - approval
Alec's daughter wanted more blocks to play with. Alec figured that blocks would develop her scientific mind. Alec bought blocks with letters on them. Alec's daughter made words with them rather than structures. Alec was happy to see his daughter developing her verbal ability.,neutral - realization - neutral - joy
I decided to murder my neighbor. I crept into his house in the middle of the night. I killed him while he slept. I was caught by the police. It was terrible to be sentenced to life in prison.,sadness - neutral - fear
Tim bought a record player at a thrift shop. He didn't have any records to play on it. He asked his parents if they had any. They gave him their entire record collection from their youth. He felt cool and retro when he played records at a party.,neutral - admiration - neutral
Amy wanted to get healthy. She purchased a smoothie blender. She made delicious fruit and vegetable smoothies. It took 20 minutes to clean the blender. Amy was determined to lose weight.,neutral - admiration - neutral - optimism
